0 0 60 120 180 240 300 0 30 60 90 120 150 180 210 240 270 300 330 0 19.1066 40.8934 60 79.1066 100.893 120 139.107 160.893 180 199.107 220.893 240 259.107 280.893 300 319.107 340.893 0 13.8979 30 46.1021 60 73.8979 90 106.102 120 133.898 150 166.102 180 193.898 210 226.102 240 253.898 270 286.102 300 313.898 330 346.102 
180 0 120 150 180 210 240 0 60 90 120 139.107 160.893 180 199.107 220.893 240 270 300 0 30 60 79.1066 100.893 120 133.898 150 166.102 180 193.898 210 226.102 240 259.107 280.893 300 330 0 19.1066 40.8934 60 73.8979 90 106.102 120 130.893 143.413 156.587 169.107 180 190.893 203.413 216.587 229.107 240 253.898 270 286.102 300 319.107 340.893 
240 300 0 180 210 240 270 330 0 60 120 150 180 199.107 220.893 240 259.107 280.893 300 340.893 0 30 60 90 120 139.107 160.893 180 193.898 210 226.102 240 253.898 270 286.102 300 319.107 346.102 0 19.1066 40.8934 60 79.1066 100.893 120 133.898 150 166.102 180 190.893 203.413 216.587 229.107 240 250.893 263.413 276.587 289.107 300 313.898 330 
300 330 0 0 240 270 300 340.893 0 30 60 120 180 210 240 259.107 280.893 300 319.107 346.102 0 19.1066 40.8934 60 90 120 150 180 199.107 220.893 240 253.898 270 286.102 300 313.898 330 349.107 0 13.8979 30 46.1021 60 79.1066 100.893 120 139.107 160.893 180 193.898 210 226.102 240 250.893 263.413 276.587 289.107 300 310.893 323.413 336.587 
0 0 30 60 0 300 330 0 19.1066 40.8934 60 90 120 180 240 270 300 319.107 340.893 0 13.8979 30 46.1021 60 79.1066 100.893 120 150 180 210 240 259.107 280.893 300 313.898 330 346.102 0 10.8934 23.4132 36.5868 49.1066 60 73.8979 90 106.102 120 139.107 160.893 180 199.107 220.893 240 253.898 270 286.102 300 310.893 323.413 336.587 349.107 
60 30 60 90 120 0 0 19.1066 40.8934 60 79.1066 100.893 120 150 180 240 300 330 0 13.8979 30 46.1021 60 73.8979 90 106.102 120 139.107 160.893 180 210 240 270 300 319.107 340.893 0 10.8934 23.4132 36.5868 49.1066 60 70.8934 83.4132 96.5868 109.107 120 133.898 150 166.102 180 199.107 220.893 240 259.107 280.893 300 313.898 330 346.102 0 
120 60 90 120 150 180 0 30 60 79.1066 100.893 120 139.107 160.893 180 210 240 300 0 19.1066 40.8934 60 73.8979 90 106.102 120 133.898 150 166.102 180 199.107 220.893 240 270 300 330 0 13.8979 30 46.1021 60 70.8934 83.4132 96.5868 109.107 120 130.893 143.413 156.587 169.107 180 193.898 210 226.102 240 259.107 280.893 300 319.107 340.893 0 
180 180 150 160.893 180 199.107 210 0 120 120 139.107 150 166.102 180 193.898 210 220.893 240 240 0 60 90 100.893 120 133.898 143.413 156.587 169.107 180 190.893 203.413 216.587 226.102 240 259.107 270 300 0 30 60 79.1066 90 106.102 120 130.893 139.107 150 160.893 171.052 180 188.948 199.107 210 220.893 229.107 240 253.898 270 280.893 300 330 
210 240 180 180 199.107 220.893 240 300 0 120 150 160.893 180 193.898 210 226.102 240 259.107 270 330 0 60 90 120 139.107 150 166.102 180 190.893 203.413 216.587 229.107 240 253.898 270 280.893 300 340.893 0 30 60 79.1066 100.893 120 133.898 143.413 156.587 169.107 180 188.948 199.107 210 220.893 231.052 240 250.893 263.413 276.587 286.102 300 319.107 
240 270 240 210 220.893 240 259.107 300 300 0 180 180 199.107 210 226.102 240 253.898 270 280.893 319.107 330 0 60 120 150 160.893 180 193.898 203.413 216.587 229.107 240 250.893 263.413 276.587 286.102 300 330 340.893 0 30 60 90 120 139.107 150 166.102 180 190.893 199.107 210 220.893 231.052 240 248.948 259.107 270 280.893 289.107 300 313.898 
270 300 300 240 240 259.107 280.893 319.107 330 0 0 180 210 220.893 240 253.898 270 286.102 300 330 340.893 0 30 60 120 150 180 199.107 210 226.102 240 250.893 263.413 276.587 289.107 300 313.898 336.587 346.102 0 19.1066 40.8934 60 90 120 139.107 160.893 180 193.898 203.413 216.587 229.107 240 248.948 259.107 270 280.893 291.052 300 310.893 323.413 
300 319.107 330 300 270 280.893 300 330 340.893 0 0 0 240 240 259.107 270 286.102 300 313.898 336.587 346.102 0 19.1066 30 60 120 180 210 220.893 240 253.898 263.413 276.587 289.107 300 310.893 323.413 340.893 349.107 0 13.8979 30 40.8934 60 90 120 150 180 199.107 210 226.102 240 250.893 259.107 270 280.893 291.052 300 308.948 319.107 330 
330 340.893 0 0 300 300 319.107 346.102 0 19.1066 30 60 0 240 270 280.893 300 313.898 330 349.107 0 13.8979 30 40.8934 60 90 120 180 210 240 259.107 270 286.102 300 310.893 323.413 336.587 351.052 0 10.8934 23.4132 36.5868 46.1021 60 79.1066 100.893 120 150 180 199.107 220.893 240 253.898 263.413 276.587 289.107 300 308.948 319.107 330 340.893 
0 0 19.1066 30 0 330 340.893 0 13.8979 30 40.8934 60 60 0 300 300 319.107 330 346.102 0 10.8934 23.4132 36.5868 46.1021 60 79.1066 90 120 180 240 270 280.893 300 313.898 323.413 336.587 349.107 0 8.94828 19.1066 30 40.8934 49.1066 60 73.8979 90 100.893 120 150 180 210 240 259.107 270 286.102 300 310.893 319.107 330 340.893 351.052 
30 19.1066 40.8934 60 60 0 0 13.8979 30 46.1021 60 79.1066 90 120 0 300 330 340.893 0 10.8934 23.4132 36.5868 49.1066 60 73.8979 90 100.893 120 150 180 240 270 300 319.107 330 346.102 0 8.94828 19.1066 30 40.8934 51.0517 60 70.8934 83.4132 96.5868 106.102 120 139.107 160.893 180 210 240 259.107 280.893 300 313.898 323.413 336.587 349.107 0 
60 40.8934 60 79.1066 90 60 30 30 46.1021 60 73.8979 90 100.893 120 120 0 0 0 19.1066 23.4132 36.5868 49.1066 60 70.8934 83.4132 96.5868 106.102 120 139.107 150 180 240 300 330 340.893 0 13.8979 19.1066 30 40.8934 51.0517 60 68.9483 79.1066 90 100.893 109.107 120 133.898 150 160.893 180 210 240 270 300 319.107 330 346.102 0 10.8934 
90 60 79.1066 100.893 120 120 60 40.8934 60 73.8979 90 106.102 120 139.107 150 180 0 0 30 30 46.1021 60 70.8934 83.4132 96.5868 109.107 120 133.898 150 160.893 180 210 240 300 330 0 19.1066 23.4132 36.5868 49.1066 60 68.9483 79.1066 90 100.893 111.052 120 130.893 143.413 156.587 166.102 180 199.107 220.893 240 270 300 319.107 340.893 0 13.8979 
120 90 100.893 120 139.107 150 120 60 79.1066 90 106.102 120 133.898 150 160.893 180 180 0 60 40.8934 60 73.8979 83.4132 96.5868 109.107 120 130.893 143.413 156.587 166.102 180 199.107 210 240 300 0 30 30 46.1021 60 70.8934 79.1066 90 100.893 111.052 120 128.948 139.107 150 160.893 169.107 180 193.898 210 220.893 240 270 300 330 0 19.1066 
150 120 120 139.107 160.893 180 180 60 90 100.893 120 133.898 150 166.102 180 199.107 210 240 0 30 60 79.1066 90 106.102 120 130.893 143.413 156.587 169.107 180 193.898 210 220.893 240 270 300 0 19.1066 40.8934 60 73.8979 83.4132 96.5868 109.107 120 128.948 139.107 150 160.893 171.052 180 190.893 203.413 216.587 226.102 240 259.107 280.893 300 330 0 
180 180 160.893 166.102 180 193.898 199.107 180 150 139.107 150 156.587 169.107 180 190.893 203.413 210 220.893 210 0 120 120 120 133.898 143.413 150 160.893 171.052 180 188.948 199.107 210 216.587 226.102 240 240 240 0 60 90 100.893 106.102 120 130.893 139.107 145.285 154.715 163.898 172.411 180 187.589 196.102 205.285 214.715 220.893 229.107 240 253.898 259.107 270 300 
199.107 210 180 180 193.898 210 220.893 240 180 150 160.893 166.102 180 190.893 203.413 216.587 226.102 240 240 300 0 120 120 139.107 150 156.587 169.107 180 188.948 199.107 210 220.893 229.107 240 253.898 259.107 270 330 0 60 90 100.893 120 133.898 143.413 150 160.893 171.052 180 187.589 196.102 205.285 214.715 223.898 231.052 240 250.893 263.413 270 280.893 300 
220.893 240 210 199.107 210 226.102 240 270 240 180 180 180 193.898 203.413 216.587 229.107 240 253.898 259.107 300 300 0 120 150 160.893 166.102 180 190.893 199.107 210 220.893 231.052 240 250.893 263.413 270 280.893 319.107 330 0 60 90 120 139.107 150 156.587 169.107 180 188.948 196.102 205.285 214.715 223.898 232.411 240 248.948 259.107 270 276.587 286.102 300 
240 259.107 240 220.893 226.102 240 253.898 280.893 270 240 210 199.107 210 216.587 229.107 240 250.893 263.413 270 300 300 300 0 180 180 180 193.898 203.413 210 220.893 231.052 240 248.948 259.107 270 276.587 286.102 313.898 319.107 330 0 60 120 150 160.893 166.102 180 190.893 199.107 205.285 214.715 223.898 232.411 240 247.589 256.102 265.285 274.715 280.893 289.107 300 
259.107 280.893 270 240 240 253.898 270 300 300 300 240 210 220.893 226.102 240 250.893 263.413 276.587 286.102 313.898 319.107 330 0 0 180 180 199.107 210 216.587 229.107 240 248.948 259.107 270 280.893 289.107 300 323.413 330 340.893 0 30 60 120 150 160.893 180 193.898 203.413 210 220.893 231.052 240 247.589 256.102 265.285 274.715 283.898 291.052 300 310.893 
280.893 300 300 270 259.107 270 286.102 313.898 319.107 330 300 240 240 240 253.898 263.413 276.587 289.107 300 323.413 330 340.893 0 0 0 180 210 220.893 226.102 240 250.893 259.107 270 280.893 291.052 300 310.893 330 336.587 346.102 0 19.1066 30 60 120 150 180 199.107 210 216.587 229.107 240 248.948 256.102 265.285 274.715 283.898 292.411 300 308.948 319.107 
300 313.898 319.107 300 280.893 286.102 300 323.413 330 340.893 330 300 270 259.107 270 276.587 289.107 300 310.893 330 336.587 346.102 0 0 0 0 240 240 240 253.898 263.413 270 280.893 291.052 300 308.948 319.107 334.715 340.893 349.107 0 13.8979 19.1066 30 60 120 180 210 220.893 226.102 240 250.893 259.107 265.285 274.715 283.898 292.411 300 307.589 316.102 325.285 
319.107 330 340.893 330 300 300 313.898 336.587 346.102 0 0 0 300 270 280.893 286.102 300 310.893 323.413 340.893 349.107 0 13.8979 19.1066 30 60 0 240 240 259.107 270 276.587 289.107 300 308.948 319.107 330 343.898 351.052 0 10.8934 23.4132 30 40.8934 60 90 120 180 210 220.893 240 253.898 263.413 270 280.893 291.052 300 307.589 316.102 325.285 334.715 
