time time_err rate rate_err
0.35603374794 7.45590277778e-05 3.07606783542 0.561610580625
0.363643348993 0.00173674189815 5.3600680789 0.137983032664
0.367543128981 0.00174368055556 8.15830451423 0.174173307884
0.371413590498 0.00174795717593 9.57840128342 0.189904158162
0.375248222616 0.00174515046296 10.1288620659 0.196464084441
0.3791062975 0.00174365162037 11.3135941408 0.210560645365
0.390623601516 0.00174444444444 13.9008650072 0.240027110343
0.394457155174 0.00174303240741 14.185058423 0.243774150644
0.398311332789 0.0017479224537 15.6861600784 0.258158124047
0.402150459236 0.00174388888889 15.668326852 0.270990729681
0.404900052118 0.000353247685185 14.710372964 0.567043206578
0.406200025799 0.000356828125 15.8681681149 0.588517779265
0.409846877292 0.000354136574074 15.9684603037 0.595109378919
0.413244816771 0.000352318865741 15.9102824498 0.591709771051
0.418072755231 0.000352188657407 15.7877206101 0.602777973889
0.422418813831 0.000354545717593 16.8664426616 0.613021285526
0.426758893866 0.000412546296296 16.8163034282 0.627142293401
0.430056439028 0.000342006365741 15.4785517805 0.585452596548
0.433203843113 0.000343770833333 15.8390379257 0.591107645429
0.436670431875 0.000351872685185 14.5751405296 0.564775223641
0.440286893877 0.000342298032407 14.5392883355 0.565512774291
0.442018010289 0.000354155671296 14.1996406624 0.556100846745
0.44703254022 0.000344081018519 14.2421164493 0.556485538114
0.449243511134 0.000343921296296 13.0427308444 0.532024088189
0.463674738067 0.00174701967593 12.2681576548 0.228881944988
0.467542462512 0.00175397569444 12.2374312014 0.228110285686
0.471475721632 0.00175134837963 12.5230046925 0.232787298272
0.47531617294 0.00174962962963 12.0288238834 0.225399617049
0.479220941817 0.00174935185185 11.5190345776 0.220908017484
0.483121204005 0.00173197916667 12.0781509209 0.225967162309
0.487069975556 0.00173343171296 11.8772695233 0.242494273817
0.491014403113 0.00175695601852 11.4927132035 0.219837994419
0.494943574097 0.00175686921296 11.5553620811 0.219992415455
0.498841430451 0.00175412615741 11.2531148508 0.218024671653
0.502712520069 0.00173320601852 11.2741263797 0.217051067517
